stop_id,route_id,city,name,latitude,longitude,adv,shelter_rating,shelter_type,bench_rating,bench_type,trash_can_type,trash_can_rating
2089,20,Rosemead,San Gabriel/Hellman,34.069745,-118.090559,Compliant,3,Other,3,Other,Other,2
2090,20,Montebello,Greenwood/Date,33.991203,-118.121756,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2091,20,San Gabriel,San Gabriel/Marshall,34.074713,-118.090644,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2092,20,Montebello,Greenwood/Oakwood,33.989129,-118.123016,Compliant,Not Present,Not Present,Not Present,Not Present,Cement,3
2093,20,San Gabriel,San Gabriel/Valley,34.080537,-118.090655,Compliant,Not Present,Not Present,3,Other,Other,3
2094,20,Montebello,Greenwood/Elm,33.986785,-118.12439,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2095,20,San Gabriel,San Gabriel/Scott,34.082932,-118.09069,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2096,20,Montebello,Greenwood/Union,33.983138,-118.1267,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2097,20,San Gabriel,San Gabriel/Chestnut,34.086433,-118.090723,Compliant,Not Present,Not Present,3,Other,Other,3
2098,20,Montebello,Union/Gage,33.979303,-118.123092,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
2099,20,San Gabriel,San Gabriel/Central,34.087869,-118.090724,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
3001,30,South Gate,FirestonePL/Garfield,33.950856,-118.16522,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
3002,30,Alhambra,Huntington/Story,34.108949,-118.130898,Compliant,Not Present,Not Present,2,Other,Other,3
3003,30,Bell Gardens,Garfield/Eastern,33.953818,-118.163309,Compliant,3,Other,3,Other,Other,3
3004,30,San Marino,Huntington/Granada,34.11098,-118.128429,Compliant,Not Present,Not Present,3,Other,Other,3
3005,30,Bell Gardens,Garfield/Fostoria,33.955943,-118.16068,Compliant,4,Other,3,Other,Other,3
3006,30,San Marino,Huntington/ El Molino,34.10987,-118.13021,Compliant,Not Present,Not Present,1,Other,Other,3
3007,30,Bell Gardens,Garfield/Muller,33.957733,-118.1587,Compliant,3,Other,3,Other,Other,3
3008,30,SouthPasadena,Atlantic/Garfield,34.105039,-118.134797,Compliant,Not Present,Not Present,Not Present,Not Present,Other,3
3009,30,Bell Gardens,Garfield/Park Lane,33.960037,-118.156095,Compliant,3,Other,3,Other,Other,3
3010,30,Alhambra,Garfield/Pine,34.104293,-118.13365,Not Present ,Not Present,Not Present,2,Other,Other,2
3011,30,Bell Gardens,Garfield/Clara,33.962037,-118.153583,Compliant,4,Other,3,Other,Other,3
3012,30,Alhambra,Garfield/McLean,34.10209,-118.131771,Compliant,Not Present,Not Present,1,Other,Not Present,Not Present
3013,30,Bell Gardens,Garfield/Florence,33.965011,-118.151649,Compliant,3,Other,3,Other,Other,3
3014,30,Alhambra,Garfield/Alhambra,34.100413,-118.130612,Compliant,Not Present,Not Present,2,Other,Other,3
3015,30,Bell Gardens,Garfield/Loveland,33.969844,-118.149017,Compliant,Not Present,Not Present,2,Other,Other,3
3016,30,Alhambra,Garfield/Grand,34.098916,-118.129572,Compliant,Not Present,Not Present,1,Other,Other,3
3017,30,Bell Gardens,Garfield/Gage,33.973834,-118.146638,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
3018,30,Alhambra,Garfield/Woodward,34.097394,-118.12852,Compliant,3,Other,3,Other,Not Present,Not Present
3019,30,Commerce,Garfield/Randolph,33.977609,-118.144358,Compliant,2,Other,2,Other,Other,2
3020,30,Alhambra,Garfield/Main,34.094884,-118.126721,Compliant,4,Other,3,Other,Other,2
3021,30,Commerce,Garfield/Randolph-Slauson,33.979033,-118.143468,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
3022,30,Alhambra,Garfield/Bay State,34.092975,-118.125431,Compliant,Not Present,Not Present,2,Other,Other,2
3023,30,Commerce,Garfield/Slauson,33.982469,-118.141304,Compliant,Not Present,Not Present,2,Other,Other,2
3024,30,Alhambra,Garfield/Commonweatlh,34.091924,-118.124687,Compliant,2,Other,2,Other,Other,2
3025,30,Commerce,Garfield/Bandini,33.986379,-118.138978,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
3026,30,Alhambra,Garfield/Beacon,34.090992,-118.124015,Compliant,Not Present,Not Present,2,Other,Other,3
3027,30,Commerce,Garfield/Telegraph,33.98824,-118.136921,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
3028,30,Alhambra,Garfield/Park,34.088635,-118.12319,Compliant,Not Present,Not Present,2,Other,Other,4
3029,30,Commerce,Garfield/Elm,33.991564,-118.134837,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
